French,English
un asile,"shelter, asylum, hospital [not ""abri""]"
un rapporteur,"telltale, rapporteur, reporter"
dix-neuvième,nineteenth
une indemnisation,"indemnification, compensation, indemnity"
harceler,"to harass, plague"
honteux,"ashamed, shameful"
un leadership,leadership
portable,"portable, wearable; (cell phone)"
précoce,"early, precocious"
une qualification,qualification
une insulte,insult
planer,"to glide, soar"
un stage,"internship, training course"
dédier,to dedicate
un cahier,"notebook [not ""carnet""]"
un exil,exile
un artisan,"craftsman, self-employed, artisan"
rassurant,"reassuring, comforting"
un remède,"cure, remedy"
un composant,"component, constituent"
carrément,"completely, directly, straight out, squarely"
hurler,"to scream, yell, howl"
un yen,yen
gras,"fatty, fat, greasy"
médiatique,media
une statue,statue
une frappe,"strike, striking, stamp, impression, punch"
économiquement,economically
efficacement,"efficiently, effectively [not ""effectivement""]"
un golfe,gulf
une ambiance,"atmosphere, mood, ambience [not ""atmosphère""]"
coopérer,to cooperate
un bus,"bus [not ""a...""]"
septième,seventh
industrialiser,to industrialize
charmant,charming
marginal,marginal
un comptable,"accountant, (accountable)"
un isolement,"loneliness, isolation, insulation"
modérer,"to restrain, moderate, reduce [not ""restreindre""]"
une façade,"front, façade [not ""front""]"
un porc,"pig, pork"
une appartenance,"membership, belonging"
une émeute,"riot, rioting"
constructif,constructive
minime,"minor, minimal [not ""minimal""]"
un volant,steering wheel
une mobilisation,mobilization
tâcher,"to endeavor, try [not ""s'efforcer""]"
un racisme,racism
une mairie,"town hall, city hall"
une aptitude,"ability, aptitude"
une fumée,smoke
un ralentissement,slowing down
une récession,recession
convaincant,convincing
un sou,penny
un/une analyste,analyst
prétendu,"so-called, alleged, pretended  [not ""soi-disant"" / ""dit""]"
grossier,"unrefined, crude, coarse, rude, rough, gross"
un sauvetage,"rescue, salvaging, saving"
pervers,"pervert, perverse, perverted"
sensiblement,"approximately, more or less, noticeably, sensibly"
léguer,"to bequeath, hand down, pass on"
prélever,"to impose, levy, withdraw, remove [not ""imposer""]"
noyer,"to drown, flood, blur, water down; walnut"
un abbé,"abbot, priest"
détecter,"to detect [not ""déceler""]"
une ignorance,ignorance
sceptique,"sceptical, sceptic"
vôtre,yours
problématique,problematic; (problem)
voiler,"to veil, conceal"
une nationalité,nationality
capter,"to capture, pick up, tap [not ""capturer""]"
s'envoler,"to fly away, fly off, take off"
un pasteur,"minister, clergyman, pastor"
activer,"to activate, speed up, stoke, get moving"
une chimie,chemistry
erroné,erroneous
un fantôme,"ghost, phantom"
un serment,"oath, vow [not ""vœu""]"
yougoslave,"Yugoslav, Yugoslavian"
explicitement,explicitly
alerter,"to alert, inform, warn"
une vigilance,"vigilance, watchfulness"
un rock,rock music
naviguer,"to navigate, sail"
un revers,"back, reverse, setback"
une aviation,aviation
une souplesse,"suppleness, flexibility"
respectueux,respectful
une trahison,"betrayal, treachery, treason"
une réconciliation,reconciliation
un sursis,"reprieve, deferment [not ""report""]"
simultanément,simultaneously
techniquement,technically
un os,bone
une cote,"rating, share index, quoted value"
un débit,"debit, turnover, delivery, rate"
un symptôme,symptom
délibérément,deliberately
une écoute,listening
un contingent,"contingent, draft, quota [not ""quota""]"
un dictionnaire,dictionary
émerger,"to emerge, rise up, come out"
instruire,"to teach, educate, inform, instruct [not ""enseigner""]"
inconscient,"unconscious, thoughtless"
chaleureux,"warm [not ""chaud""]"
déguiser,to disguise
une fièvre,fever
une vitre,"pane, window [not ""vitrine"" / ""fenêtre"" ""]"
fantastique,"fantastic, terrific, great, weird, eerie"
une équité,"equity, fairly"
soustraire,"to substract, remove, shield, escape from"
instable,unstable
une vapeur,"vapor, steam, (steamship)"
un beurre,butter
un monument,monument
une courbe,"curve, (curved)"
téléviser,to televise
consolider,"to strengthen, reinforce, consolidate"
muet,"mute, silent, dumb"
contrevenant,"offender, offending [not ""délinquant""]"
une offensive,"offensive, offence"
oral,oral
coder,"to code, encode"
un gel,"frost, freezing, gel"
une rénovation,"renovation, restoration [not ""restauration""]"
une controverse,controversy
médiocre,"mediocre, second-rate"
une routine,routine
un relais,"shift, relay"
opposant,"opponent, opposing"
un aval,"backing; downstream, downhill"
une rubrique,"rubric, column, heading"
un préfet,prefect
une provocation,provocation
filial,filial; (branch office)
un versant,"slope, hillside, mountainside"
une réticence,"reluctance, hesitation, reticence [not ""hésitation""]"
une grossesse,pregnancy
égyptien,Egyptian
un timbre,stamp; tone
découper,"to carve, cut"
un distributeur,"distributor, machine"
un élargissement,"widening, letting-out, stretching, broadening, enlargement"
sommaire,"summary, brief, cursory"
colonial,colonial
des pourparlers,"talk, discussion, negotiation [not ""négociation""]"
une incidence,"effect, incidence [not ""effet""]"
un béton,concrete
fiable,"reliable, trustworthy"
un génocide,genocide
vingt-quatre,twenty four
dégrader,"to degrade, debase, damage, erode"
indifférent,"indifferent, unconcerned, unimportant"
audacieux,"daring, audacious, bold"
une poudre,powder
une teneur,"content [not ""contenu""]"
inverser,"to reverse, invert"
naval,naval
épouvantable,"terrible, appalling, dreadful [not ""terrible"" / ""affreux""]"
mécontent,"discontented, dissatisfied, displeased"
un vocabulaire,vocabulary
stabiliser,to stabilize
un délégué,delegate
centrer,"to center [not ""axer""]"
algérien,Algerian
une dérive,drift
alentour,"around, round about, in the vicinity"
corrompre,"to corrupt, bribe"
un commerçant,"shopkeeper, merchant, (commercial) [not ""marchand""]"
une poitrine,"chest, breast, breasts, bosom [not ""sein""]"
couronner,"to crown, award"
relire,"to reread, proofread"
perpétuer,"to perpetuate, carry on"
sympathique,"likeable, nice, pleasant, sympathetic"
compétitif,"competitive [not ""concurrentiel""]"
une majesté,majesty
un mouton,"sheep, mutton"
une indifférence,indifference
omettre,"to leave out, miss out, omit"
typique,typical
concurrentiel,"competitive [not ""compétitif""]"
une doctrine,doctrine
quotidiennement,"daily, every day"
une architecture,architecture
une éventualité,"eventuality, possibility [not ""possibilité""]"
massacrer,"to slaughter, massacre"
réciproque,"mutual, reciprocal, the opposite [not ""mutuel""]"
un état-major,"staff, staff headquarters"
un désarmement,"disarmament, disarming"
englober,"to include, encompass, incorporate [not ""inclure"" / ""incorporer""]"
grossir,"to get larger, put on weight"
séparatiste,separatist
un surcroît,"extra, additional"
sortant,outgoing
un plomb,lead
s'attarder,to linger
nationaliste,nationalist
exportateur,"exporter, exporting"
une montre,watch
ratifier,to ratify
une gorge,"throat, gorge"
un exploit,exploit
encourageant,encouraging
aviser,"to notice, advise [not ""conseiller""]"
une épidémie,epidemic
une alarme,alarm
parier,"to bet [not ""miser""]"
écologique,ecological
une lunette,"telescope, glasses"
climatique,climatic
une sphère,sphere
confidentiel,confidential
sanctionner,"to sanction, punish, approve"
un recrutement,"recruiting, recruitment"
détendre,"to release, slacken, loosen, relax"
aisé,"easy, well off, well-to-do"
un entourage,"circle, entourage [not ""cercle""]"
un autobus,"bus [not ""b...""]"
défavoriser,to put at a disadvantage
résistant,"robust, sturdy, resistance fighter, resistant"
une admiration,admiration
un acide,acid
banal,"banal, trite, commonplace, ordinary"
un poulet,chicken
une toilette,"washing, toilet, lavatory, bathroom, restroom"
une brigade,"brigade, team, squad"
trembler,"to shiver, tremble, shake, flicker"
un reçu,"receipt, accepted"
civiliser,to civilize
une relance,"boost, reminder, recovery"
une dose,"dose, amount [not ""somme""]"
pêcher,"to fish, go fishing; (peach tree)"
une distorsion,distortion
octroyer,"to grant, bestow"
un arrivant,"arrival, comer"
standard,"standard, switchboard"
un taxi,taxi
une limitation,"limitation, restriction, limit"
irréversible,irreversible
un loyer,rent
furieux,"furious, raging, violent"
verbal,verbal
contacter,"to contact, get in touch with"
un commissariat,"police station [not ""gendarmerie""]"
gai,"cheerful, merry, gay"
une confrontation,"confrontation [not ""affrontement""]"
chier,"to sh*t, piss off, get pissed off"
fatal,"fatal, deadly, fateful"
rude,"rough, harsh, hard, tough, rude"
un panneau,"sign, notice, panel"
une appréciation,"appreciation, assessment, appraisal"
un réflexe,reflex
un complément,"complement, remainder"
atlantique,Atlantic
un comédien,"comedian, comedy"
un successeur,successor
une méfiance,"distrust, mistrust, suspicion"
replier,"to fold, roll up, fold up, withdraw [not ""p...""]"
un vérificateur,"checker, inspector, auditor [not ""inspector"" / ""contrôleur""]"
un dictateur,dictator
initialement,initially
un rédacteur,"editor, writer, drafter, compiler"
avaler,to swallow
une extraction,extraction
un banquier,banker
une prétention,"claim, pretentiousness, pretension"
une stabilisation,stabilisation
mutuellement,"mutually, one another"
une légion,legion
une lacune,"gap, deficiency, lacuna"
un engin,"machine, tool, vehicle, device"
mépriser,"to scorn, look down, spurn, disdain"
titulaire,"holder, with tenure, occupant"
idéologique,ideological
une cloche,bell
un/une compatriote,compatriot
une affection,"affection, ailment"
un sel,salt
majoritaire,majority
minoritaire,minority
un paradoxe,paradox
chiffrer,"to put a figure to, assess, quantify, number"
catastrophique,"catastrophic, disastrous [not ""désastre""]"
un magistrat,"magistrate, judge"
un extrait,"extract, excerpt"
un redressement,"straightening up, upturn, righting, recovery"
une farce,"joke, prank, hoax, farce [not ""blague""]"
une compétitivité,competitiveness
enthousiaste,enthusiastic
une quarantaine,about forty
un sous-sol,"basement, lower ground floor, subsoil, underground"
un rat,rat
un flot,"floodtide, stream of, flood of"
un amant,lover
partiellement,"partly, partially"
radioactif,radioactive
une passe,"pass, channel"
indépendamment,"independently, irrespective of, regardless of"
une location,renting
naïf,"naïve, innocent"
retraité,retired
une innocence,innocence
mordre,"to bite, overlap into"
une messe,mass [in church]
une coïncidence,coincidence
une torture,torture
protecteur,"protective, protector, guardian"
un rayonnement,"radiance, radiation, influence"
une récolte,"harvest, crop"
un bijou,"jewel, bijou"
un danseur,dancer
une expertise,expertise
minier,mining
une vitrine,"display cabinet, window [not ""vitre"" / ""fenêtre""]"
ébranler,"to shake, rattle [not ""secouer""]"
un crâne,"skull, cranium"
une valise,suitcase
vocal,vocal
unilatéral,unilateral
un combustible,"fuel, combustible"
économiser,"save on, conserve, save [not ""conserver""]"
tisser,to weave
une poule,"hen, chick"
une punition,punishment
anéantir,"to annihilate, wipe out, ruin, vanish"
rentable,"profitable [not ""profitable""]"
loyal,"loyal, faithful [not ""fidèle""]"
un renfort,"help, back-up, support, reinforcement [not ""aide""/""secours""]"
une cohérence,"coherence, consistency"
une souris,mouse
bombarder,to bomb
une hésitation,hesitation
un semestre,"semester, six-month period"
croyant,believer
un réalisateur,"director [not ""directeur""]"
brutalement,brutally
lourdement,heavily
une tente,tent
une goutte,"drop, gout"
éveiller,"to arouse, stimulate, awaken [not ""susciter"" / ""exciter""]"
un moine,"monk, friar"
modéré,"moderate, restrained, reasonable"
négligeable,"negligible, trivial"
un vice,"fault, defect, vice"
symboliser,to symbolize
substituer,to substitute
une poussée,"push, rise, upsurge"
un commandant,commander
chuter,"to fall [not ""tomber""]"
une fidélité,"loyalty, faithfulness, accuracy, reliability, fidelity"
basculer,"to topple, fall over, knock off"
un/une gestionnaire,"administrator [not ""administrateur""]"
redoutable,"fearsome, formidable [not ""formidable""]"
subtil,"subtle, nice"
polémique,"controversial, controversy, polemic"
alourdir,"to weigh down, make heavy"
une avancée,"advance, overhung, projection"
sévir,"to crack down; act ruthlessly, be rife"
un jumeau,twin
piéger,"to trap, booby-trap"
confiant,"trusting, confident"
immigrant,immigrant
intact,intact
une rapidité,"speed, quickness, rapidity [not ""vitesse""]"
une localité,"town, village, locality [not ""village""]"
une récupération,"recovery, retrieval, salvage, recuperation"
vigoureux,vigorous
une rentabilité,profitability
pendre,to hang down
incliner,"to tilt, tend towards, incline"
affreux,"dreadful, awful, horrible [not ""terrible"" / ""épouvantable""]"
révolter,"to revolt, rebel, outrage"
un conte,tale
une évasion,"escape, evasion [not ""fuite""]"
un repère,"reference, benchmark, landmark"
delà,"beyond, above, over"
arrivé,arrived
une ironie,irony
un serveur,"waiter, server"
bannir,"to banish, ban"
une insuffisance,"inadequacy, insufficiency"
une librairie,"bookstore, bookshop"
philosophique,philosophical
miser,"to bet, stake [not ""parier""]"
un stupéfiant,"drug, narcotic; (stunning, astounding, stupefying)"
un boursier,"grant-holder, scholarship holder; (stock [adj])"
une levée,"raising, levying, levee"
déformer,"to bend, distort, deform"
menaçant,"threatening, menacing"
une parenthèse,"parenthesis, bracket, aside"
une substitution,"substitution, mix-up"
parer,"to adorn, put on; to ward off, parry"
avantageux,"profitable, worthwhile, advantageous, attractive"
handicaper,to handicap
filmer,"to film, shoot"
délinquant,"delinquent, offender [not ""contrevenant""]"
un perdant,"losing, loser"
une altitude,"altitude, height"
imputer,"to impute to, attribute to"
plaisanter,to joke
poétique,"poetic, poetical, poetics"
nord-est,north-east
desservir,"to clear; go against, harm, serve"
une connerie,"crap, bullsh*t, stupidity"
sanglant,"bloody, cruel, covered in blood"
un coude,elbow
ôter,"to remove, take away, take off, take out [not ""retirer"" / ""enlever"" / ""supprimer""]"
un report,"postponement, deferment [not ""sursis""]"
une créature,creature
mensuel,monthly
globalement,globally
convenable,"suitable, appropriate, correct, proper, acceptable"
itinéraire,"itinerary, route"
purger,"to purge, bleed, drain"
fâcher,"to anger, make angry, get angry"
repasser,"to cross again, retake, show again, iron"
aucunement,"in no way, not in the least, not at all [not ""nullement""]"
un palier,"landing, level, flat"
prochainement,"shortly, soon [not ""bientôt""]"
réglementaire,"regulation, control, statutory"
un costume,"suit, costume, dress"
une thérapie,therapy
un reproche,reproach
un curé,parish priest
alternatif,"alternate, alternating, alternative"
un soulagement,"relief, solace"
dissoudre,"to dissolve, disband, break up"
une avalanche,avalanche
un mark,mark [currency]
une brèche,"breach, gap"
une incitation,"incitement, incentive"
un contrôleur,"inspector, controller [not ""inspector"" / ""vérificateur""]"
éditorial,editorial
conjugal,"conjugal, married"
pâle,pale
relâcher,"to loosen, release, let go"
un visa,"visa, stamp"
vingt-cinq,twenty five
un péché,sin
un entraîneur,"coach, trainer"
une sécheresse,"dryness, drought"
un score,score
goûter,"to taste, snack"
renier,"to disown, repudiate, go back on, renounce"
une juridiction,"jurisdiction, court of law"
une prostitution,prostitution
une fiche,"card, sheet, slip, form [not ""feuille""]"
un déséquilibre,imbalance
un/une gendarme,policeman
entraver,"to hinder, hamper, get in the way of [not ""coincer""]"
sous-estimer,to underestimate
un embargo,embargo
interdit,"prohibited, banned"
un brouillard,"fog, mist, haze"
syrien,Syrian
un jet,"jet, throw, spray, nozzle"
une probabilité,"probability, likelihood"
occupant,"occupant, occupier, occupying"
ponctuel,punctual
défini,definite
un détachement,detachment
manuscrit,"manuscript, handwritten"
un panier,basket
une trêve,truce
immobile,"still, motionless, immobile"
une fermeté,"firmness, solidness, steadiness"
véhiculer,"to transport, convey, (deliver by vehicle) [not ""transporter""]"
répliquer,to reply
passionnant,"fascinating, exciting"
une théologie,theology
un bouton,"button, knob, spot [not ""touche""]"
immigrer,to immigrate
une tache,"stain, spot, mark"
une tendresse,"tenderness, fondness"
privilégié,privileged
un slogan,slogan
un fromage,cheese
toxique,"toxic, toxin"
advenir,"to happen that, happen to"
pharmaceutique,pharmaceutical
un parfum,"perfume, scent, fragrance"
antique,"antique, ancient"
controversé,"much debated, controversial"
un instinct,instinct
une incapacité,"incompetence, incapability"
insupportable,"intolerable [not ""intolérable""]"
opportun,"timely, opportune"
un parquet,"parquet floor, hardwood floor, prosecutor's office"
une navigation,navigation
contrarier,"to annoy, bother, thwart"
nouer,"to knot, tie"
un barreau,bar (prison)
une cinquantaine,about fifty
improviser,to improvise
désespéré,"desperate, hopeless"
une auto,"car [not ""voiture""]"
un troupeau,"herd, flock, troop"
une gendarmerie,"police force, police station [not ""commissariat""]"
une frustration,frustration
analogue,"similar, analogous [not ""pareil"" / ""semblable"" / ""similaire""]"
venu,come
génétiquement,genetically
ironique,ironic
sonore,"sound, resonant, sonorous, voiced"
initier,"to initiate, introduce [not ""amorcer"" / ""introduire""]"
des mœurs,"morals, customs, habits, manners, ways, mores"
un cessez-le-feu,ceasefire
bénévole,"volunteer, voluntary, unpaid [not ""volontaire""]"
une boue,mud
sanitaire,"health, sanitary, medical"
un empereur,emperor
dissiper,"to dispel, disperse, clear away [not ""disperser""]"
un déclin,"decline, deterioration"
liquider,"to liquidate, sell off, clear"
une maintenance,"maintenance, servicing"
prévisible,"predictable, forseeable"
un pneu,tire
une fraude,fraud
entrevoir,"to make out, catch a glimpse of, foresee"
stipuler,"to state, stipulate, specify [not ""préciser"" / ""énoncer""]"
remédier,"to cure, remedy, put right [not ""guérir""]"
flotter,"to float, hang, stream"
une fraction,fraction
un coton,cotton
conditionnel,conditional
une nuance,"nuance, hue, shade"
improbable,"unlikely, improbable"
un enquêteur,"investigator, pollster"
conjointement,jointly
éclaircir,"to brighten up, clear up"
une impossibilité,impossibility
impatient,impatient
un versement,"payment [not ""paiement"" / ""rémunération""]"
bosser,"to work, bash on [not ""travailler"" / ""œuvrer""]"
articuler,to articulate
successivement,successively
un bordel,"brothel, mess, chaos"
une provision,"stock, supply, provision [not ""stock"" / ""approvisionnement""]"
amplifier,"to amplify, magnify, expand"
une ceinture,"belt, waist"
intergouvernemental,intergovernmental
une délibération,"deliberation, debate, consideration"
mexicain,Mexican
assurément,"most certainly, assuredly"
saisonnier,seasonal
souterrain,"underground, underground passage"
une merveille,"marvel, wonder"
restituer,"to refund, restore, return"
un démon,"demon, fiend"
balancer,"to swing, sway, balance"
un seigneur,"lord, seigneur"
infiniment,infinitely
acquis,"acquired, experience"
un récepteur,"receiver, receiving, receptor"
un glissement,"sliding, slipping, skidding"
un auditeur,"auditor, listener"
indigène,"native, local, indigenous"
une disponibilité,"availability, disposability"
indirectement,indirectly
une obtention,"obtaining, achievement"
grandissant,"growing, increasing"
un chagrin,"grief, sorrow [not ""deuil""]"
prostitué,prostitute
un chocolat,chocolate
une soupe,soup
bravo,"bravo, well done"
appréhender,"to dread, apprehend"
un concitoyen,fellow citizen
une flèche,arrow
une libéralisation,liberalization
lumineux,"luminous, illuminated; light"
un/une signataire,signatory
un ski,"ski, skiing"
un douanier,"customs officer, customs"
un syndrome,syndrome
une météo,weather forecast
borner,"to limit, confine [not ""limiter"" / ""confiner""]"
triompher,"to triumph, beat"
un complot,"plot, conspiracy"
une soumission,submission
continuellement,"continually, continuously"
dérober,"to steal, hide, rob [not ""voler""]"
un romancier,novelist
un sorcier,"sorcerer, witch"
une consigne,"deposit, orders, detention, countersign"
une harmonie,harmony
concrétiser,"to materialise, concretize"
pleuvoir,to rain
déplaire,"to displease, be unhappy"
innombrable,"innumerable, countless"
une félicitation,congratulation
inédit,"unpublished; original, new, unedited"
une lance,lance
blond,"blond, fair-haired"
diversifier,"to diversify, vary"
un vélo,"bike, bicycle"
une fatigue,"tiredness, fatigue"
une instabilité,instability
pénaliser,"to penalize, punish"
un comte,count (noble title)
désireux,"avid for, anxious to, desirous of"
amer,bitter
un orchestre,orchestra
dixième,tenth
est,east
envelopper,"to wrap, surround, veil, envelop"
troublant,"disturbing, troublesome"
foncier,"land-related, land, fundamental"
irrégulier,"irregular, uneven"
un fouet,whip
baigner,"to bathe, wash, get a bath, go for a swim"
une fixation,"fixation, fixing"
un encadrement,"training, framing, supervision"
déménager,to move [to a new place]
photographier,to photograph
insensé,insane
moderniser,to modernize
expérimental,experimental
incomber,to be incumbent upon
une retombée,"fallout, consequences, effects"
esthétique,"(aesthetics, attractiveness;) attractive, aesthetic"
différencier,to differentiate
un éventail,"fan, range"
une solde,pay; (sale; balance)
gâcher,"to waste, spoil"
un régiment,regiment
équivaloir,"to be equivalent, amount to"
un bouleversement,upheaval
relater,"to relate, recount"
décent,"decent, proper"
éminent,"eminent, distinguished"
chiite,Shiite
rayer,"to scratch, streak, stripe; to erase, strike out"
concrètement,in concrete terms
une coulisse,"backstage, wings, behind the scenes, coulisse"
enchaîner,"to chain up, connect, string together, enchain"
un instituteur,school teacher
un emplacement,"site, location [not ""site""]"
copier,"to copy, reproduce"
inculper,"to inculpate, charge"
un renouveau,"renewal [not ""renouvellement""]"
intégral,"integral, complete, unabridged"
une ratification,ratification
une spécification,specification
une documentation,"documentation, literature"
logiquement,logically
un spectre,"spectrum, ghost"
néerlandais,Dutch
suédois,"Swedish, Swede"
rouvrir,to reopen
un débouché,"prospect, opportunity, opening"
croisé,crossed; (twill; alternate; crusader)
un fléau,"scourge, plague [not ""plaie""]"
une traversée,"crossing, traverse"
harmoniser,"to harmonize, harmonize with"
un secrétariat,"secretaryship, secretariat, secretarial offices, secretary's office"
mou,"soft [not ""doux""]"
venger,"to avenge, take revenge"
un détenteur,"holder, possessor, bearer"
basque,Basque
une soif,thirst
une accumulation,"accumulation, amassing, storage, stockpiling, build-up"
solaire,solar
un essor,"expansion, development, flight [not ""développement"" / ""déroulement"" / ""aménagement""]"
obséder,"to obsess, haunt"
intolérable,"intolerable [not ""insupportable""]"
une rébellion,rebellion
préventif,preventive
autoritaire,authoritarian
aimable,"pleasant, kind, nice, amiable"
une conformité,conformity
un pantalon,"trousers, pants"
anormal,abnormal
inhérent,inherent
réconcilier,"to reconcile [not ""concilier""]"
un réservoir,"tank, reservoir"
une désignation,designation
emmerder,"to bug, bother [not ""gêner"" / ""déranger"" / ""troubler""]"
une inondation,"flood, deluge, inundation"
un câble,"cable, wire"
un poumon,lung
humble,"humble, lowly"
une perturbation,"disruption, disturbance, perturbation"
brouiller,"to mix-up, confuse, scramble [not ""mélanger"" / ""confondre""]"
une illustration,illustration
un aveu,"confession [not ""confession""]"
un fermier,"farmer [not ""agriculteur""]"
hanter,to haunt
un cordon,"cord, string, lead, cordon"
néfaste,"harmful, ill-fated"
lasser,"to weary, grow weary, tire"
influer,"to influence, have an influence on"
présentement,"at present, presently"
appliqué,"assiduous, industrious, careful, applied, applied"
stopper,"to stop, halt"
kurde,"Kurd, Kurdish"
amusant,"funny, amusing, entertaining [not ""drôle""]"
un tremblement,"shiver, trembling, shaking"
un rail,"rail, track [not ""trace""/""piste""]"
fondamentalement,"basically, fundamentally, inherently"
une lampe,"lamp, light"
une plate-forme,platform
triple,triple
supplier,"to beg, implore, supplicate"
une multiplication,multiplication
camoufler,"to cover up, conceal, camouflage"
un cliché,cliché; (negative)
un diamant,diamond
un guerrier,warrior; (warlike)
inchangé,unchanged
comique,"comical; (comic, comedian)"
une planification,planning
un éloge,praise
un regroupement,"regrouping, reassembly"
odieux,"hateful, odious"
désastreux,disastrous
figer,"to clot, coagulate, congeal, set, freeze [not ""geler""]"
nocturne,"nocturnal, nocturne"
une configuration,"configuration, layout"
escompter,to discount; to expect
intensif,intensive
un scepticisme,scepticism
plénier,"plenary, full"
un/une athlète,athlete
un poil,"hair, bristle [not ""cheveu""]"
s'épanouir,"to bloom, blossom"
minimiser,"to minimize, play down"
inévitablement,inevitably
informé,informed
une croisière,cruise
échéant,if need be
murmurer,to murmur
une implantation,"implanting, setting up, establishment, implantation, installation"
décerner,"to award, give, issue"
replacer,"to replace, put back"
un Islam,Islam
un trottoir,pavement
un vieillard,old man
une fillette,"little girl, girl"
enchanter,"to delight, enchant, rejoice"
un singe,monkey
superficiel,"superficial, shallow"
rigide,"rigid, stiff"
vêtir,"to clothe, dress, put on"
une fourniture,"supply, provision [not ""approvisionnement"" / ""apport""]"
taxer,to tax
une milice,militia
une foire,fair
élégant,"elegant, stylish"
une crème,cream
démographique,demographic
une charité,charity
une borne,"milestone, boundary stone"
organique,organic
dévouer,"to devote, sacrifice oneself [not ""consacrer"" / ""vouer""]"
hâter,"to quicken, hasten [not ""précipiter""]"
une mobilité,mobility
un exclu,"outcast, (excluded)"
un boucher,"butcher; (to fill in, get clogged up)"
une mentalité,mentality
un commencement,"beginning, start, commencement"
un licenciement,"dismissal, sacking [not ""renvoi""]"
un chancelier,chancellor
une retenue,"deduction; restraint, self-control"
une visée,"aim, design, sighting"
une dénonciation,denunciation
bénéfique,beneficial
exiler,to exile
un rocher,"rock, boulder"
une mortalité,"mortality, death rate"
une cruauté,cruelty
regrettable,"unfortunate, regrettable"
droguer,"to drug, take drugs"
une plaie,"wound, sore, plague [not ""fléau""]"
un confort,comfort
compréhensible,"comprehensible, understandable"
un tube,tube
un coffre,"trunk, boot, chest"
intimider,to intimidate
huitième,eighth
connecter,"to connect, go on-line [not ""relier""]"
périr,to perish
notoire,"notorious, well-known"
graphique,"graph, graphic"
une annulation,"cancellation, annulment"
une acceptation,acceptance
un textile,textile
forger,"to forge, contrive, make up"
un chirurgien,surgeon
un orage,"storm, thunderstorm"
une boule,"ball [not ""ballon""]"
une médiation,"mediation, arbitration [not ""arbitrage""]"
réprimer,"to repress, suppress"
un hall,"foyer, lobby, hall"
visuel,visual
hormis,"save, but"
jadis,"formerly, long ago"
rémunérer,"to remunerate, pay"
fasciner,"to fascinate [not ""passionner""]"
un dilemme,dilemma
progressiste,"progressive [not ""progressif""]"
un semblant,"semblance, pretence"
un ours,bear
excéder,to exceed
blâmer,"to blame, reprimand"
un duc,duke
raciste,racist
un stress,stress
inexistant,non-existent
décharger,"to unload, discharge"
danois,"Danish, Dane"
concéder,"to concede, grant"
retrancher,"to entrench; to deduct, remove"
renfermer,"to contain, shut, lock, enclose"
une vieillesse,old age
théoriquement,theoretically
traditionnellement,traditionally
une batterie,battery; drum set
un foie,liver
gratuitement,"free, gratuitously"
incompréhensible,incomprehensible
un détour,"bend, curve, detour"
une navette,shuttle
une blague,joke
un mécontentement,"displeasure, dissatisfaction"
inaugurer,"to unveil, open, inaugurate"
un repli,"bend, twist, wrinkle, fold, fallback"
une contrepartie,"counterpart, opposite, alternative [not ""alternative""]"
proportionnel,proportional
un boulevard,boulevard
un triomphe,triumph
un libre-échange,free trade
une sincérité,sincerity
une serre,greenhouse
doré,golden
un convoi,"convoy, train"
un aboutissement,"outcome, result [not ""issue""]"
une psychologie,psychology
maltraiter,"to manhandle, ill-treat, misuse, slight, maltreat"
un puits,"well, shaft, pit"
une intimité,"privacy, intimacy"
une équation,equation
humide,"moist, damp, humid, wet"
un bétail,"livestock, cattle"
un prophète,prophet
terrien,"earthling; landowner, countryman"
un gâteau,cake
continental,continental
réitérer,"to reiterate, repeat"
énumérer,to enumerate
une embauche,"job vacancy, hiring"
un verdict,verdict
dix-neuf,nineteen
un micro,"mike, micro, microphone"
frustrer,to frustrate
anglo-saxon,Anglo-Saxon
une détente,"release, relaxation, détente, loosening"
questionner,"to question [not ""interroger"" / ""contester""]"
injecter,to inject
un préjudice,"loss, harm, damage [not ""dégât""]"
guetter,"to watch over, watch out for"
une exploration,"exploration, investigation, examination"
caresser,"to fondle, caress"
un hymne,"hymn, anthem"
sécuritaire,safe
une famine,famine
s'écrier,"to exclaim, cry out"
couramment,"fluently, commonly"
une précipitation,"haste, precipitation [not ""hâte""]"
une caution,"deposit, guarantee, bail"
une affectation,"appointment, allocation; show, pretence"
un salaud,bastard
une cave,"cellar, basement"
un bond,"leap, (rebound, bound)"
enclin,"inclined, prone"
une foudre,lightning
une justesse,"accuracy, precision [not ""précision""]"
une rente,"annuity, pension"
une hépatite,hepatitis
blindé,armoured
un clan,clan
une accélération,acceleration
un garage,garage
résolument,resolutely
un négociateur,negotiator
romantique,romantic
une obscurité,"darkness, obscurity"
vulgaire,"vulgar, common, popular"
un nettoyage,"cleaning, cleansing"
féroce,"ferocious, fierce"
perpétuel,"perpetual, everlasting, never-ending"
militer,"to militate, be militant"
une jungle,jungle
une case,"box, hut, field [not ""boîte""]"
craquer,"to creak, squeak, crackle, give in, strike"
soixante-dix,seventy
clarifier,to clarify
une traite,"trade, draft, stretch, milking"
un démarrage,"start, moving off"
un oubli,"forgetting, leaving behind, missing"
un procès-verbal,"minutes, statement"
une crête,"crest, top, ridge"
une formalité,formality
distant,"far-off, distant, faraway [not ""lointain""]"
un émetteur,"transmitter, issuer"
un montage,"assembly, setting, pitching, putting, editing, mounting"
énergique,energetic
claquer,"to flap, bang, slam, snap"
